Afar,aa,aawiki
Kannada,kn,knwiki
Komi-Permyak,koi,koiwiki
Korean,ko,kowiki
Karachay-Balkar,krc,krcwiki
Kanuri,kr,krwiki
Ripuarian,ksh,kshwiki
Kashmiri,ks,kswiki
Kurdish,ku,kuwiki
Komi,kv,kvwiki
Cornish,kw,kwwiki
Kirghiz,ky,kywiki
Ladino,lad,ladwiki
Latin,la,lawiki
Lak,lbe,lbewiki
Luxembourgish,lb,lbwiki
Lezgian,lez,lezwiki
Luganda,lg,lgwiki
Ligurian,lij,lijwiki
Limburgish,li,liwiki
Lombard,lmo,lmowiki
Lingala,ln,lnwiki
Lao,lo,lowiki
Northern Luri,lrc,lrcwiki
Latgalian,ltg,ltgwiki
Lithuanian,lt,ltwiki
Latvian,lv,lvwiki
Maithili,mai,maiwiki
Banyumasan,map-bms,map_bmswiki
Moksha,mdf,mdfwiki
Malagasy,mg,mgwiki
Meadow Mari,mhr,mhrwiki
Marshallese,mh,mhwiki
Minangkabau,min,minwiki
Maori,mi,miwiki
Macedonian,mk,mkwiki
Malayalam,ml,mlwiki
Mongolian,mn,mnwiki
Moldavian,mo,mowiki
Hill Mari,mrj,mrjwiki
Marathi,mr,mrwiki
Malay,ms,mswiki
Maltese,mt,mtwiki
Muscogee,mus,muswiki
Mirandese,mwl,mwlwiki
Burmese,my,myvwiki
Erzya,myv,mywiki
Mazandarani,mzn,mznwiki
Nahuatl,nah,nahwiki
Neapolitan,nap,napwiki
Nauruan,na,nawiki
Dutch Low Saxon,nds-nl,nds_nlwiki
Low Saxon,nds,ndswiki
Nepali,ne,newiki
Newar,new,newwiki
Ndonga,ng,ngwiki
Dutch,nl,nlwiki
Norwegian (Nynorsk),nn,nnwiki
Novial,nov,novwiki
Norwegian (Bokmël),no,nowiki
Norman,nrm,nrmwiki
Northern Sotho,nso,nsowiki
Navajo,nv,nvwiki
Chichewa,ny,nywiki
Occitan,oc,ocwiki
Oromo,om,omwiki
Oriya,or,orwiki
Ossetian,os,oswiki
Pangasinan,pag,pagwiki
Kapampangan,pam,pamwiki
Papiamentu,pap,papwiki
Punjabi,pa,pawiki
Picard,pcd,pcdwiki
Pennsylvania German,pdc,pdcwiki
Palatinate German,pfl,pflwiki
Norfolk,pih,pihwiki
Pali,pi,piwiki
Polish,pl,plwiki
Piedmontese,pms,pmswiki
Western Punjabi,pnb,pnbwiki
Pontic,pnt,pntwiki
Pashto,ps,pswiki
Portuguese,pt,ptwiki
Quechua,qu,quwiki
Romansh,rm,rmwiki
Romani,rmy,rmywiki
Kirundi,rn,rnwiki
Aromanian,roa-rup,roa_rupwiki
Tarantino,roa-tara,roa_tarawiki
Romanian,ro,rowiki
Rusyn,rue,ruewiki
Russian,ru,ruwiki
Kinyarwanda,rw,rwwiki
Sakha,sah,sahwiki
Sanskrit,sa,sawiki
Sicilian,scn,scnwiki
Scots,sco,scowiki
Sardinian,sc,scwiki
Sindhi,sd,sdwiki
Northern Sami,se,sewiki
Sango,sg,sgwiki
Serbo-Croatian,sh,shwiki
Simple English,simple,simplewiki
Sinhalese,si,siwiki
Slovak,sk,skwiki
Slovenian,sl,slwiki
Samoan,sm,smwiki
Shona,sn,snwiki
Somali,so,sowiki
Albanian,sq,sqwiki
Sranan,srn,srnwiki
Serbian,sr,srwiki
Swati,ss,sswiki
Saterland Frisian,stq,stqwiki
Sesotho,st,stwiki
Sundanese,su,suwiki
Swedish,sv,svwiki
Swahili,sw,swwiki
Silesian,szl,szlwiki
Tamil,ta,tawiki
Tetum,tet,tetwiki
Telugu,te,tewiki
Tajik,tg,tgwiki
Thai,th,thwiki
Tigrinya,ti,tiwiki
Turkmen,tk,tkwiki
Tagalog,tl,tlwiki
Tswana,tn,tnwiki
Tongan,to,towiki
Tok Pisin,tpi,tpiwiki
Turkish,tr,trwiki
Tsonga,ts,tswiki
Tatar,tt,ttwiki
Tumbuka,tum,tumwiki
Twi,tw,twwiki
Tuvan,tyv,tyvwiki
Tahitian,ty,tywiki
Udmurt,udm,udmwiki
Uyghur,ug,ugwiki
Ukrainian,uk,ukwiki
Urdu,ur,urwiki
Uzbek,uz,uzwiki
Venetian,vec,vecwiki
Vepsian,vep,vepwiki
Venda,ve,vewiki
Vietnamese,vi,viwiki
West Flemish,vls,vlswiki
Volapôk,vo,vowiki
Waray-Waray,war,warwiki
Walloon,wa,wawiki
Wolof,wo,wowiki
Wu,wuu,wuuwiki
Kalmyk,xal,xalwiki
Xhosa,xh,xhwiki
Mingrelian,xmf,xmfwiki
Yiddish,yi,yiwiki
Yoruba,yo,yowiki
Zhuang,za,zawiki
Zeelandic,zea,zeawiki
Classical Chinese,zh-classical,zh_classicalwiki
Min Nan,zh-min-nan,zh_min_nanwiki
Cantonese,zh-yue,zh_yuewiki
Chinese,zh,zhwiki
Zulu,zu,zuwiki
