Afar,aa,aawiki,aawiki/20150702
Swedish,sv,svwiki,svwiki/20150702
Swahili,sw,swwiki,swwiki/20150702
Silesian,szl,szlwiki,szlwiki/20150702
Tamil,ta,tawiki,tawiki/20150702
Tamil,ta,tawiki,testwikidatawiki/20150702
Tetum,tet,tetwiki,tetwiki/20150702
Telugu,te,tewiki,tewiki/20150702
Tajik,tg,tgwiki,tgwiki/20150702
Thai,th,thwiki,thwiki/20150702
Tigrinya,ti,tiwiki,tiwiki/20150702
Turkmen,tk,tkwiki,tkwiki/20150702
Tagalog,tl,tlwiki,tlwiki/20150702
Tswana,tn,tnwiki,tnwiki/20150702
Tongan,to,towiki,towiki/20150702
Tok Pisin,tpi,tpiwiki,tpiwiki/20150702
Turkish,tr,trwiki,trwiki/20150702
Tsonga,ts,tswiki,tswiki/20150702
Tatar,tt,ttwiki,ttwiki/20150702
Tumbuka,tum,tumwiki,tumwiki/20150702
Twi,tw,twwiki,twwiki/20150702
Tuvan,tyv,tyvwiki,tyvwiki/20150702
Tahitian,ty,tywiki,tywiki/20150702
Udmurt,udm,udmwiki,udmwiki/20150702
Uyghur,ug,ugwiki,ugwiki/20150702
Ukrainian,uk,ukwiki,ukwiki/20150702
Urdu,ur,urwiki,urwiki/20150702
Uzbek,uz,uzwiki,uzwiki/20150702
Venetian,vec,vecwiki,vecwiki/20150702
Vepsian,vep,vepwiki,vepwiki/20150702
Venda,ve,vewiki,vewiki/20150703
Vietnamese,vi,viwiki,viwiki/20150702
West Flemish,vls,vlswiki,vlswiki/20150702
VolapŸk,vo,vowiki,vowiki/20150702
Waray-Waray,war,warwiki,warwiki/20150702
Walloon,wa,wawiki,wawiki/20150702
Wolof,wo,wowiki,wowiki/20150702
Kalmyk,xal,xalwiki,xalwiki/20150702
Xhosa,xh,xhwiki,xhwiki/20150702
Mingrelian,xmf,xmfwiki,xmfwiki/20150702
Yiddish,yi,yiwiki,yiwiki/20150702
Yoruba,yo,yowiki,yowiki/20150702
Zhuang,za,zawiki,zawiki/20150702
Zeelandic,zea,zeawiki,zeawiki/20150702
Classical Chinese,zh-classical,zh_classicalwiki,zh_classicalwiki/20150702
Min Nan,zh-min-nan,zh_min_nanwiki,zh_min_nanwiki/20150702
Cantonese,zh-yue,zh_yuewiki,zh_yuewiki/20150702
Chinese,zh,zhwiki,zhwiki/20150703
Zulu,zu,zuwiki,zuwiki/20150702
